학급,번호,기말고사(100점/60%),수행1(15점),수행2(15점),수행3(10점),총점(100점)
1반,1,87,15,11,9,87.2
1반,2,82,15,13,7,84.2
1반,3,62,14,12,10,73.2
1반,4,79,12,13,7,79.4
1반,5,100,12,11,7,90.0
1반,6,80,10,12,9,79.0
1반,7,84,11,11,10,82.4
1반,8,53,14,14,7,66.8
1반,9,77,13,12,9,80.2
1반,10,90,14,13,7,88.0
1반,11,98,10,12,10,90.8
1반,12,90,11,10,7,82.0
1반,13,85,13,15,10,89.0
1반,14,96,10,11,7,85.6
1반,15,100,15,12,7,94.0
1반,16,66,10,15,7,71.6
1반,17,99,12,15,7,93.4
1반,18,60,10,14,7,67.0
1반,19,98,13,15,10,96.8
1반,20,69,13,10,8,72.4
1반,21,65,15,14,10,78.0
1반,22,93,11,12,10,88.8
1반,23,72,12,15,10,80.2
1반,24,52,12,11,7,61.2
1반,25,81,14,12,7,81.6
1반,26,75,11,14,7,77.0
1반,27,96,14,14,7,92.6
1반,28,52,11,11,8,61.2
1반,29,61,12,10,10,68.6
1반,30,72,13,11,10,77.2
2반,1,57,11,12,10,67.2
2반,2,75,11,14,10,80.0
2반,3,96,15,13,9,94.6
2반,4,59,13,15,8,71.4
2반,5,50,12,11,8,61.0
2반,6,52,14,15,9,69.2
2반,7,86,10,10,10,81.6
2반,8,69,10,12,9,72.4
2반,9,82,10,10,7,76.2
2반,10,73,10,12,8,73.8
2반,11,78,15,11,7,79.8
2반,12,73,15,10,9,77.8
2반,13,55,14,14,9,70.0
2반,14,68,13,10,9,72.8
2반,15,76,12,15,7,79.6
2반,16,80,10,14,10,82.0
2반,17,64,10,15,7,70.4
2반,18,92,14,13,10,92.2
2반,19,92,11,14,10,90.2
2반,20,84,13,10,7,80.4
2반,21,85,15,11,8,85.0
2반,22,52,11,11,7,60.2
2반,23,71,15,13,8,78.6
2반,24,50,13,12,8,63.0
2반,25,96,11,10,9,87.6
2반,26,96,10,11,9,87.6
2반,27,79,10,13,10,80.4
2반,28,59,10,14,7,66.4
2반,29,73,14,14,7,78.8
2반,30,91,10,13,7,84.6
3반,1,61,12,15,8,71.6
3반,2,92,12,13,8,88.2
3반,3,76,13,10,10,78.6
3반,4,63,15,15,10,77.8
3반,5,75,10,15,10,80.0
3반,6,67,10,15,9,74.2
3반,7,91,11,11,7,83.6
3반,8,87,15,15,9,91.2
3반,9,82,12,13,8,82.2
3반,10,68,13,13,9,75.8
3반,11,71,10,13,9,74.6
3반,12,70,15,13,9,79.0
3반,13,95,10,14,9,90.0
3반,14,64,14,12,10,74.4
3반,15,82,15,15,8,87.2
3반,16,66,10,14,9,72.6
3반,17,63,14,11,10,72.8
3반,18,53,14,14,7,66.8
3반,19,94,11,15,9,91.4
3반,20,99,14,14,10,97.4
3반,21,90,11,11,8,84.0
3반,22,94,10,14,8,88.4
3반,23,87,13,12,7,84.2
3반,24,78,14,10,10,80.8
3반,25,100,10,13,8,91.0
3반,26,56,10,14,10,67.6
3반,27,84,14,12,10,86.4
3반,28,84,12,13,9,84.4
3반,29,53,14,14,10,69.8
3반,30,51,13,15,10,68.6
4반,1,86,11,15,8,85.6
4반,2,53,12,11,9,63.8
4반,3,85,13,10,10,84.0
4반,4,91,11,10,9,84.6
4반,5,55,12,14,10,69.0
4반,6,75,13,11,7,76.0
4반,7,53,12,13,8,64.8
4반,8,63,11,12,7,67.8
4반,9,78,12,10,9,77.8
4반,10,88,14,15,8,89.8
4반,11,67,13,11,7,71.2
4반,12,77,11,11,10,78.2
4반,13,84,11,13,8,82.4
4반,14,82,11,15,10,85.2
4반,15,80,14,15,9,86.0
4반,16,92,11,11,7,84.2
4반,17,95,11,11,9,88.0
4반,18,89,13,10,8,84.4
4반,19,79,13,11,7,78.4
4반,20,59,15,10,10,70.4
4반,21,96,11,14,10,92.6
4반,22,81,13,12,8,81.6
4반,23,73,12,10,8,73.8
4반,24,83,12,14,10,85.8
4반,25,67,12,13,9,74.2
4반,26,100,14,12,9,95.0
4반,27,67,13,14,10,77.2
4반,28,86,12,14,10,87.6
4반,29,54,14,10,9,65.4
4반,30,53,11,13,9,64.8
5반,1,71,14,11,7,74.6
5반,2,56,10,14,9,66.6
5반,3,84,14,11,9,84.4
5반,4,87,11,10,7,80.2
5반,5,71,14,14,9,79.6
5반,6,70,12,14,10,78.0
5반,7,60,11,13,9,69.0
5반,8,93,11,12,8,86.8
5반,9,80,10,14,8,80.0
5반,10,74,15,15,10,84.4
5반,11,59,10,14,9,68.4
5반,12,100,15,14,10,99.0
5반,13,85,10,11,8,80.0
5반,14,86,13,13,8,85.6
5반,15,71,12,11,9,74.6
5반,16,89,13,13,8,87.4
5반,17,93,10,14,10,89.8
5반,18,71,10,14,9,75.6
5반,19,72,14,14,7,78.2
5반,20,81,15,12,7,82.6
5반,21,100,10,11,10,91.0
5반,22,57,13,10,10,67.2
5반,23,93,10,11,8,84.8
5반,24,58,13,10,7,64.8
5반,25,100,15,12,9,96.0
5반,26,64,10,13,10,71.4
5반,27,60,15,12,8,71.0
5반,28,69,12,12,8,73.4
5반,29,75,13,11,7,76.0
5반,30,78,13,10,9,78.8
